Zeit,VL,RL
197 - 203 % 0%
3953	1360
3953	1360
3969	1360
3969	1376
3969	1376
3969	1376
3969	1376
3969	1376
3969	1376
3969	1392
3969	1392
3985	1392
3985	1392
3985	1376
3969	1376
3969	1376
3969	1376
3969	1360
3969	1376
3969	1376
3985	1376
3985	1392
3985	1392
3969	1376
3937	1360
3937	1360
3969	1408
3969	1408
3969	1392
3969	1392
3969	1376
3985	1376
3985	1392
3969	1392
3969	1376
3953	1392
3953	1360
3953	1360
3985	1360
3985	1360
3985	1408
3985	1408
3969	1392
4017	1376
3969	1376
3969	1376
3969	1376
3969	1376
3969	1392
3969	1392
3969	1392
3969	1376
3969	1376
3969	1376
3953	1376
3953	1376
3953	1376
3969	1376
3969	1376
3969	1392
3969	1360
3969	1360
3953	1360
3953	1392
3969	1392
3969	1392
3969	1392
4001	1392
3969	1392
3953	1392
3953	1376
3985	1376
3985	1376
3985	1408
3985	1376
3985	1376
4001	1376
4001	1376
4001	1376
4001	1360
3969	1360
3969	1376
3969	1392
3985	1408
3985	1408
3969	1408
3969	1376
3969	1376
3969	1376
3985	1376
3985	1392
3969	1360
3969	1376
4001	1376
4001	1376
4001	1392
4001	1408
3969	1408
3969	1408
3953	1408
